gyroX[mdps],gyroY[mdps],gyroZ[mdps],magX[mG],magY[mG],magZ[mG],accX[mg],accY[mg],accZ[mg],hh:mm:ss.ms
426,-137,-410,708,195,-556,18,-111,947,0:48:39
167,-74,-185,708,210,-549,69,-113,1022,0:48:39
195,13,-217,696,195,-534,53,-161,1042,0:48:39
179,14,-234,711,201,-544,6,-180,991,0:48:39
135,-25,-163,705,202,-553,24,-176,1013,0:48:39
72,-29,-151,705,202,-553,40,-165,1014,0:48:39
24,-12,-195,703,202,-538,19,-128,1009,0:48:39
-10,14,-202,703,204,-543,-5,-106,1006,0:48:39
-21,25,-184,706,201,-552,-14,-95,1007,0:48:39
-14,-2,-103,697,208,-547,0,-93,1005,0:48:39
25,19,-181,697,204,-546,11,-88,995,0:48:40
72,-8,-326,697,208,-537,-13,-57,991,0:48:40
35,0,-399,697,208,-537,-46,-48,1003,0:48:40
-68,-11,-367,693,207,-565,6,-20,1003,0:48:40
-104,-2,-357,694,204,-550,38,-5,999,0:48:40
-79,-3,-266,694,214,-556,38,-5,999,0:48:40
0,28,-214,697,211,-570,44,9,994,0:48:40
70,1,-214,691,204,-546,25,34,986,0:48:40
79,-9,-240,696,214,-552,8,65,1002,0:48:40
29,-9,-185,697,220,-561,10,68,1014,0:48:40
-6,17,-119,700,219,-558,26,65,1002,0:48:40
-1,21,-79,700,219,-558,33,100,1002,0:48:40
-12,2,12,690,219,-567,39,141,1004,0:48:40
-31,-15,67,690,202,-558,42,165,999,0:48:40
-9,4,63,673,205,-558,34,182,997,0:48:40
6,-2,89,697,214,-549,13,168,997,0:48:40
3,-21,35,696,201,-556,-8,140,1001,0:48:40
-5,-42,-41,685,210,-555,-13,140,1004,0:48:40
35,-89,-163,696,202,-556,1,178,1010,0:48:40
46,-101,-166,696,213,-555,29,172,1004,0:48:40
54,-84,-42,684,214,-562,57,110,997,0:48:40
44,-43,-64,684,202,-562,30,116,997,0:48:40
-15,-12,-65,690,213,-562,30,116,997,0:48:40
-34,-14,-68,691,211,-561,70,113,998,0:48:40
-30,-19,35,684,213,-556,77,150,1002,0:48:40
-9,-14,193,681,208,-559,61,149,1002,0:48:40
-12,-11,200,681,208,-559,28,88,1001,0:48:40
16,7,115,688,205,-562,-14,65,997,0:48:40
44,34,14,690,211,-565,-30,61,995,0:48:40
62,64,57,694,207,-561,1,22,995,0:48:40
82,81,169,688,208,-555,35,6,997,0:48:40
68,87,217,685,207,-550,24,0,1003,0:48:40
53,85,343,687,202,-567,12,-1,1004,0:48:40
37,43,324,700,192,-547,8,4,1002,0:48:40
14,2,215,696,196,-558,-15,-6,1007,0:48:40
-2,-36,109,696,193,-552,-21,-20,1005,0:48:40
-16,-61,0,699,181,-559,-13,-28,1003,0:48:40
-34,-83,-4,691,189,-561,-4,-25,1006,0:48:40
-39,-130,44,696,187,-558,0,-14,1010,0:48:40
140,-28,-1,696,187,-558,3,-4,983,0:48:40
-10,-721,67,693,189,-559,-17,10,1065,0:48:40
-86,-914,-51,687,184,-568,-45,18,1106,0:48:40
-151,-597,-113,676,189,-576,23,-18,975,0:48:40
-50,-175,-46,661,193,-577,133,-33,918,0:48:40
28,192,-1,664,198,-568,175,-4,919,0:48:40
30,238,2,669,192,-568,137,-3,950,0:48:40
16,44,-14,672,190,-576,73,0,1010,0:48:41
-17,-109,-21,669,192,-571,47,0,1033,0:48:41
-6,-63,-19,681,184,-576,70,-1,1010,0:48:41
7,39,-9,676,190,-567,100,-2,982,0:48:41
11,39,-11,676,192,-568,97,-2,985,0:48:41
-2,-25,-15,672,196,-573,77,-1,1004,0:48:41
-2,-27,-15,670,190,-568,76,-2,1005,0:48:41
4,14,-12,675,187,-564,88,-1,993,0:48:41
5,9,-12,675,193,-574,89,-1,993,0:48:41
0,-15,-14,670,189,-570,81,-1,1001,0:48:41
1,-6,-14,669,186,-570,81,-1,999,0:48:41
